          ;        9368;   ;Filtro    ;Inicio                                  ;03052016      ;180056;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;        9368;   ;Filtro    ;tbk_param.txt                           ;03052016      ;180056;::1            ;OK ;                    ;Archivo parseado                                                        
          ;        9368;   ;Filtro    ;Terminado                               ;03052016      ;180056;::1            ;OK ;                    ;Datos Filtrados con exito                                               
230925696 ;        9368;   ;pago      ;inicio                                  ;03052016      ;180056;::1            ;OK ;597026007976        ;Parseo realizado                                                        
230925696 ;        9368;   ;pago      ;https://certificacion.webpay.cl         ;03052016      ;180056;::1            ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
230925696 ;        9368;   ;pago      ;https://certificacion.webpay.cl         ;03052016      ;180056;::1            ;OK ;597026007976        ;Mac generado                                                            
230925696 ;        9368;   ;pago      ;https://certificacion.webpay.cl         ;03052016      ;180056;::1            ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
230925696 ;        9368;   ;pago      ;https://certificacion.webpay.cl         ;03052016      ;180057;::1            ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
230925696 ;        9368;   ;pago      ;https://certificacion.webpay.cl         ;03052016      ;180057;::1            ;OK ;597026007976        ;Datos listos para ser enviados                                          
230925696 ;        9368;   ;pago      ;https://certificacion.webpay.cl         ;03052016      ;180057;::1            ;OK ;597026007976        ;Medio 2: Por redireccion                                                
230925696 ;        9368;   ;pago      ;https://certificacion.webpay.cl         ;03052016      ;180057;::1            ;OK ;597026007976        ;Redireccion web                                                         
230925696 ;        9368;   ;pago      ;https://certificacion.webpay.cl         ;03052016      ;180057;::1            ;OK ;597026007976        ;Todo OK                                                                 
